No,ID_Perfume,perfume,brand,top notes,mid notes,base notes,is_lokal
36,HRMN-0036,Adelina,mykonos,"Green Notes, Orange, Jasmine","Honeysuckle, Tuberose, Jasmine","White Musk, Sandalwood",TRUE
37,HRMN-0037,Satin Blanc,mykonos,"Bergamot, Black Pepper, Green Apple","Cedar Wood, Jasmine Tea, Floral Bouquet, Aquatic","White Amber, Tonka Bean, Vanilla",TRUE
38,HRMN-0038,Dark Secret,mykonos,"Black Cherry, Saffron, Bergamo","Cinnamon, Nutmeg, Marigold, Jasmine, Praline"," Amber, Musk, Tonka Bean, Sandalwood",TRUE
39,HRMN-0039,It's Not Ella,mykonos,"Hazelnut, Praline","Creamy, Praline","Vanilla Caramel, Amber, Cedar",TRUE
40,HRMN-0040,Slow Living,mykonos,"Italian Lemon, Bergamot, Orange Blossom","Lavender, Hawthorn","Musk, Ambroxan​",TRUE
41,HRMN-0041,Dolce Cherry,mykonos,"Maraschino Cherry, Vanilla, Pink Pepper, Bergamot, cloves","Vanilla, Cinnamon leaves, Dried Apricot, plum, black cherry","Tonka bean, vetiver, cedar, amberwood, sandalwood",TRUE
42,HRMN-0042,Alpha,HMNS,"CITRUS, GRASS",CEDARWOOD,GREEN TEA ESSENCE,TRUE
43,HRMN-0043,ORGSM,HMNS,RED APPLE,"ROSE, JASMINE, PEONY","VANILLA BEANS, AMBER",TRUE
44,HRMN-0044,Darker Shade of ORGSM,HMNS,"ORANGE BLOSSOM, APPLE, PEPPER","CYPRIOL, CARAMEL, PATCHOULI ","VANILLA BEANS, CEDARWOOD, AMBER, VETIVER",TRUE
45,HRMN-0045,Farhampton,HMNS,"BERGAMOT, RIPE FRUIT","LAVENDER, ORANGE BLOSSOM FLOWER","LABDANUM, CEDAR WOOD, TONKA BEAN",TRUE
