No,ID_Perfume,perfume,brand,top notes,mid notes,base notes,is_lokal
6541,FRGN-6541,mon-paris,yves-saint-laurent,"strawberry, raspberry, pear, orange, tangerine, calabrian bergamot, calone","peony, jasmine sambac, chinese jasmine, datura, orange blossom","indonesian patchouli leaf, patchouli, white musk, vanila, ambroxan, moss, cedar",FALSE
6542,FRGN-6542,mon-paris-star-edition,yves-saint-laurent,"red berries, bergamot","datura, jasmine","patchouli, white musk",FALSE
6543,FRGN-6543,parisienne,yves-saint-laurent,"blackberry, cranberry, vinyl","damask rose, violet, peony","musk, sandalwood, vetyver, patchouli",FALSE
6544,FRGN-6544,zara-sugar-rose,zara,lemon,"rose, jasmine","musk, cedar",FALSE
6545,FRGN-6545,orchid-2019,zara,bergamot,orchid,vanilla,FALSE
6546,FRGN-6546,rhinoceros-edition-2020,zoologist-perfumes,"whiskey, rum, coffee, pink pepper, basil","tobacco, leather, incense, sweet grass, ylang-ylang","laotian oud, cypriol oil or nagarmotha, patchouli, oakmoss, amber",FALSE
6547,FRGN-6547,tous-l-eau-eau-de-toilette,tous,"bergamot, grapefruit","lavender, virginia cedar, african orange flower","vetiver, musk, patchouli",FALSE
6548,FRGN-6548,the-luminous-gold,tous,"lemon, osmanthus, gooseberry, pink pepper","jasmine, tuberose, solar notes, rose, lotus","musk, patchouli, woody notes, amber",FALSE
6549,FRGN-6549,eau-du-soir-2008,sisley,"mandarin orange, grapefruit","rose, oak moss, juniper, patchouli, ylang-ylang, carnation, iris, french labdanum, jasmine, pepper, lily-of-the-valley, syringa","amber, musk",FALSE
6550,FRGN-6550,pandora-2,pandora,green notes,"iris, jasmine","cedar, amber",FALSE
6551,FRGN-6551,cherries,oriflame,"cherry, big strawberry, raspberry, black currant","magnolia, jasmine, freesia","praline, amber, musk",FALSE
6552,FRGN-6552,embrace-her,oriflame,"raspberry, black currant, candy apple, bergamot, mandarin orange","rose, violet, peach, jasmine, white carnation","sweet almond, sugar, vanilla, musk, cedar, sandalwood, heliotrope, amber",FALSE
6553,FRGN-6553,my-naked-truth,oriflame,"apple blossom, litchi, calabrian bergamot","apricot, japanese osmanthus, wild rose","cotton flower, sandalwood, cedar",FALSE
6554,FRGN-6554,flamboyant,oriflame,"orange, amalfi lemon, bergamot, grapefruit, lime","pepper, bay leaf, nutmeg, cardamom","musk, sandalwood, virginia cedar, oak moss",FALSE
6555,FRGN-6555,good-as-gold-woman,oriflame,"raspberry, bergamot, apple","orange blossom, ylang-ylang, saffron","patchouli, sandalwood, ambroxan",FALSE
6556,FRGN-6556,lady-rebel,mango,"pineapple, strawberry, mojito","woodsy notes, tincture of rose","sugar, patchouli",FALSE
6557,FRGN-6557,sunwater,lancaster,"bergamot, lemon, ylang-ylang",jasmine,"sandalwood, vetiver, amber",FALSE
6558,FRGN-6558,killer-oud,killer-oud,"oregano, allspice, bergamot","opoponax, incense, amber, labdanum","leather, sandalwood, oud, patchouli",FALSE
6559,FRGN-6559,iris-sublime,jardin-boheme,"plum, freesia, bergamot",iris,"sandalwood, vanilla, musk",FALSE
6560,FRGN-6560,hollister-canyon-escape-man,hollister,"bergamot, black pepper, cardamom","vetiver, juniper, sage, green notes","patchouli, amber, oakmoss",FALSE
6561,FRGN-6561,1472-la-divina-commedia,histoires-de-parfums,"ylang-ylang, artemisia, solar notes","jasmine, olibanum, cinnamon","rum, benzoin, amber",FALSE
6562,FRGN-6562,1873,histoires-de-parfums,"citruses, grapefruit, tangerine, lime, orange, bergamot","orange blossom, lavender, violet, lily-of-the-valley, wildflowers","caramel, vanilla, musk",FALSE
6563,FRGN-6563,rosa-sacra,frassai,"peppermint, peppertree, raspberry, black currant, litchi, mandarin orange, bergamot","grasse rose, turkish rose, geranium, chamomile, jasmine, orange blossom","palo santo, oakmoss, haitian vetiver, carob tree, benzoin, ambrette (musk mallow), patchouli, cedar",FALSE
6564,FRGN-6564,carven-c-est-paris-pour-femme,carven,"rose, rhubarb, pink pepper","gardenia, magnolia, moroccan jasmine","musk, cashmeran, patchouli",FALSE
6565,FRGN-6565,carven-l-absolu,carven,"madagascar ylang-ylang, italian mandarin","egyptian jasmine, tuberose, iris","indonesian patchouli leaf, spanish labdanum, sandalwood",FALSE
6566,FRGN-6566,b-balenciaga-skin,balenciaga,"soybean, green tea, bergamot, lily-of-the-valley","violet leaf, orris root, peony","ambrette (musk mallow), cedar, vetiver, cashmirwood",FALSE
6567,FRGN-6567,rosabotanica,balenciaga,"fig leaf, petitgrain, hyacinth","rose, grapefruit, pink pepper, cardamom","cedar, woodsy notes, vetiver, patchouli, white amber",FALSE
6568,FRGN-6568,king-of-seduction-absolute,antonio-banderas,"grapefruit, pomelo, wormwood, green almond","sea notes, lavender, cardamom","leather, vetiver, oakmoss",FALSE
6569,FRGN-6569,spirit-night-fever,antonio-banderas,"plum, red berries, orange blossom","peony, freesia, iris","sandalwood, incense",FALSE
6570,FRGN-6570,amyi-3-17,amyi,thyme,"rose petals, ylang-ylang, cumin, labdanum","sweat, animal notes, sandalwood",FALSE
6571,FRGN-6571,bambu-for-her,adolfo-dominguez,"bamboo, green notes, litchi","cherry blossom, gardenia, patchouli, rose","oak moss, woodsy notes, musk, sandalwood",FALSE
6572,FRGN-6572,colors-de-benetton-woman-blue,benetton,"yuzu, lemon, bitter orange","orange blossom, freesia, mate","musk, cedar, tonka bean",FALSE
6573,FRGN-6573,united-dreams-open-your-mind,benetton,"citruses, passionfruit","orange blossom, exotic floral notes, pink pepper","musk, amber",FALSE
6574,FRGN-6574,mountain-honey-gornyj-med,brocard,"mandarin orange, petitgrain, bergamot","coconut milk, clary sage, orange blossom, water jasmine, rose","honey, mate, sandalwood, sea notes, musk",FALSE
6575,FRGN-6575,calyx,clinique,"green leaves, guava, passionfruit, papaya, grapefruit, mango, mandarin orange","lily-of-the-valley, freesia, lily, marigold, neroli, jasmine, rose","oakmoss, vetiver, orris root, sandalwood",FALSE
6576,FRGN-6576,pont-d-or,faberlic,"pomelo, bergamot, grapefruit","apricot, praline, nutmeg, jasmine, peony","milk, vanilla, sandalwood, amber, white musk",FALSE
6577,FRGN-6577,zephyr,faberlic,"meringue, marshmallow, lemon, lime, pink pepper","candied fruits, candy apple, freesia, jasmine, lily-of-the-valley","whipped cream, cotton candy, musk, vanilla",FALSE
6578,FRGN-6578,ferrari-black,ferrari,"red apple, plum, lime, bergamot","cinnamon, jasmine, cardamom, rose","vanilla, amber, cedar, musk",FALSE
6579,FRGN-6579,twice-pour-homme,iceberg,"yuzu, mint, lemon","lavender, tarragon, cinnamon, geranium, caraway, carnation","lime, vanilla, sandalwood, vetiver, patchouli, amber, musk",FALSE
6580,FRGN-6580,aire-de-sevilla-azahar,instituto-espanol,"clementine, bergamot, tangerine","orange blossom, lily-of-the-valley, jasmine","musk, amber",FALSE
6581,FRGN-6581,eau-de-lacoste-l-12-12-noir,lacoste-fragrances,watermelon,"basil, lavender, verbena","dark chocolate, cashmeran, patchouli, coumarin",FALSE
6582,FRGN-6582,touch-of-spring,lacoste-fragrances,"quince, peach","water lily, osmanthus","musk, sandalwood",FALSE
6583,FRGN-6583,sophisma,parfums-sophiste,"cognac, green tea","cherry, pine tree, tobacco, patchouli","musk, cedar, hay, tonka bean",FALSE
6584,FRGN-6584,signature-seraphim-blue,zaharoff,"lavender, rosemary, apple, eucalyptus","marine notes, orange blossom, iris, coconut, cypress, immortelle, mugane","amber, frankincense, musk",FALSE
6585,FRGN-6585,karma,tesori-d-oriente,"lemon, bergamot, citrus blossom, watery notes","frangipani, pear blossom, tiare flower, ylang-ylang","musk, vanilla, cedar, coconut, tonka bean",FALSE
6586,FRGN-6586,pink-iris,abel,"raspberry leaf, sichuan pepper, basil","italian orris root, rose, jasmine","musk, vanilla",FALSE
6587,FRGN-6587,authentic-self-man,abercrombie-fitch,"cypress, ginger, cardamom","violet leaf, freesia, geranium","virginia cedar, madagascar vanilla, tonka bean",FALSE
6588,FRGN-6588,agent-provocateur-maitresse,agent-provocateur,"ylang-ylang, lotus petals","iris, osmanthus, jasmine sambac, violet leaf","musk, white suede, amber, cedar",FALSE
6589,FRGN-6589,alya,al-wataniah,"strawberry, litchi, mandarin orange, cassis","rose, magnolia, peach, freesia, casablanca lily","dark chocolate, sandalwood, patchouli, ambrette (musk mallow)",FALSE
6590,FRGN-6590,driven,alfred-dunhill,"red apple, lime, plum, bergamot","cinnamon, cardamom, jasmine, rose","vanilla, amber, amyris, musk, cedar",FALSE
6591,FRGN-6591,animale-seduction-homme,animale,"mint, bergamot, sage","rosemary, freesia, lavender","cedar, moss, sandalwood",FALSE
6592,FRGN-6592,wild-orchid,arteolfatto,"plum, bergamot, pink pepper","orchid, ylang-ylang, tuberose, white flowers","patchouli, sandalwood, musk, woody notes, vetiver",FALSE
6593,FRGN-6593,jasmin-angelique,atelier-cologne,"angelica, sicilian lemon, sichuan pepper","egyptian jasmine, galbanum, fig","incense, white amber, tonka bean",FALSE
6594,FRGN-6594,pc01,biehl-parfumkunstwerke,"green notes, tangerine, neroli, artemisia","mango, peony, iris","vetiver, musk, kashmir wood",FALSE
6595,FRGN-6595,fjaellsjoe,bjork-and-berries,"cotton flower, freesia, ambrette (musk mallow)","water lily, magnolia","ambroxan, musk, amber",FALSE
6596,FRGN-6596,fortitude,boadicea-the-victorious,"lily, bergamot, black currant","gardenia, jasmine, ylang-ylang",woody notes,FALSE
6597,FRGN-6597,adventuress,boadicea-the-victorious,"bergamot, mandarin orange","peach, ginger","sandalwood, musk",FALSE
6598,FRGN-6598,801-sea-spray-cedar-grapefruit,bon-parfumeur,"ivy, grapefruit, citron, italian mandarin","sea notes, rosemary, nutmeg, pink pepper","cypress, cedar, white musk",FALSE
6599,FRGN-6599,cafe-cafe-pour-homme,cafe-parfums,"citruses, lime, bergamot, aldehydes, tangerine","lavender, sandalwood","oakmoss, musk, cedar",FALSE
6600,FRGN-6600,mary-j-blige-my-life,carol-s-daughter,"gardenia, pear, freesia","tuberose, lily, jasmine, apricot blossom","cashmere wood, sesame, praline",FALSE
6601,FRGN-6601,christian-audigier-for-him,christian-audigier,"blackberry, rum, pear, pomelo","saffron, cinnamon, orris root","leather, suede, oakmoss, vetyver",FALSE
6602,FRGN-6602,cuba-prestige-black,cuba-paris,"mint, pepper, geranium","lavender, coriander, jasmine","musk, oakmoss, cedar",FALSE
6603,FRGN-6603,perfecto-fino-cologne,czech-speake,"bergamot, lemon","clove, cinnamon, grass","leather, tobacco, labdanum, patchouli, sandalwood, amber",FALSE
6604,FRGN-6604,baies-sauvages-jasmin,adopt-parfums,"wild berries, black currant","jasmine, orange blossom",vanilla,FALSE
6605,FRGN-6605,fleur-de-coton,adopt-parfums,"anise, bergamot",jasmine,"magnolia, orange blossom",FALSE
6606,FRGN-6606,aurum-summer,ajmal,"red fruits, apple, pear, bergamot, mandarin orange","rose, peony, orange blossom, osmanthus, jasmine","musk, vanilla, sandalwood, cedar, moss",FALSE
6607,FRGN-6607,zahee,ajmal,"galbanum, bergamot","patchouli, rose, jasmine","sandalwood, vetiver, musk",FALSE
6608,FRGN-6608,annayake-pour-lui,annayake,"tea, apple, mandarin orange, bergamot","bamboo, lotus, cotton flower","hazelnut, coton candy, tonka bean",FALSE
6609,FRGN-6609,crazy-florever,agatha-ruiz-de-la-prada,"magnolia, brazilian orange, ginger, blueberry, kiwi","water lily, orange blossom, freesia, green apple, mimosa","woody notes, amber, musk",FALSE
6610,FRGN-6610,fuel-for-life-l-eau,diesel,"water notes, grapefruit, lemon, peach","cascalone, jasmine sambac, rose","musk, driftwood, ambroxan",FALSE
6611,FRGN-6611,dkny-delicious-night,donna-karan,"blackberry, ginger, pomelo, freesia","orchid, jasmine, iris","incense, patchouli, myrhh, amber, vetiver",FALSE
6612,FRGN-6612,cashmere-mist-eau-de-toilette,donna-karan,bergamot,"suede, jasmine, lily-of-the-valley","cashmere wood, musk, sandalwood, vanilla, amber",FALSE
6613,FRGN-6613,dkny-delicious-delights-cool-swirl,donna-karan,"coconut nectar, violet leaf, blueberry","sorbet, pistachio, magnolia, jasmine","heliotrope, musk, patchouli",FALSE
6614,FRGN-6614,witch,edgardio-chilini,"cardamom, pepper, neroli, bergamot, saffron","sage, vanilla, angelica, caramel, tobacco","patchouli, ebony tree, vetiver, agarwood (oud), cashmere wood, labdanum, sandalwood, amber, musk",FALSE
6615,FRGN-6615,soulle-ambar,floris,"pineapple, mastic or lentisque, galbanum, bergamot","pink pepper, geranium, melilot or sweet clover, jasmine","amber, musk, vanila",FALSE
6616,FRGN-6616,cabotine-moon-flower,gres,"pear, incense, bergamot","pink peony, vanilla, rose","sandalwood, musk, cedar",FALSE
6617,FRGN-6617,my-passion-hommage-a-marlene-dietrich,gres,"red apple, cinnamon, lily-of-the-valley",orange blossom,"vanilla, amber, musk",FALSE
6618,FRGN-6618,harajuku-lovers-music,harajuku-lovers,"pear, clementine","sweet pea, honeysuckle, jasmine","vanilla, musk",FALSE
6619,FRGN-6619,nouez-moi,house-of-sillage,"pink pepper, sicilian bergamot","bulgarian rose, cardamom",indonesian patchouli leaf,FALSE
6620,FRGN-6620,she-is-sweet,hunca,"pineapple, african orange flower, pomelo, amalfi lemon","jasmine, melon, lotus, magnolia","vanille, sandalwood, musk",FALSE
6621,FRGN-6621,forbidden-affair,anna-sui,"black currant, red currant, amalfi lemon","raspberry, rose, pomegranate","violet, musk, virginia cedar",FALSE
6622,FRGN-6622,fantasia,anna-sui,"pomelo, pink pepper","praline, raspberry, floral notes","cypress, himalayan cedar",FALSE
6623,FRGN-6623,siam-flamboyant,id-parfums,"white pepper, mandarin orange","frangipani, orange blossom","bourbon vanilla, benzoin",FALSE
6624,FRGN-6624,yin,jacques-fath,"iris, freesia, rose, peony","peach, melon, black currant, cinnamon, violet leaf","white musk, sandalwood, vanilla",FALSE
6625,FRGN-6625,jaguar-classic-motion,jaguar,"bergamot, mint, lemon, birch leaf","sea notes, black pepper, coriander, lavender","vetiver, patchouli, white musk, orris, amber, sandalwood",FALSE
6626,FRGN-6626,boum-do-brazil,jeanne-arthes,"coconut water, tangerine, tiare flower","biscuit, coconut milk, heliotrope","vanilla, musk, sandalwood",FALSE
6627,FRGN-6627,lover-in-dark,jeanne-arthes,"plum, apple","thyme, cinnamon, jasmine","vanilla, cedar, sandalwood",FALSE
6628,FRGN-6628,guipure-silk-havana-moon,jeanne-arthes,"ylang-ylang, blood orange, bergamot","milk, honey, orange blossom","praline, patchouli",FALSE
6629,FRGN-6629,fleur-de-murier,karl-lagerfeld,"red currant, raspberry leaf, orange","blackberry blossom, violet, orange blossom, lily-of-the-valley","musk, sandalwood, vanilla, amber",FALSE
6630,FRGN-6630,morning-mimosa,korres,"mimosa, pink pepper, grapefruit, pineapple","ylang-ylang, jasmine, rose","patchouli, vanilla, musk, tonka bean",FALSE
6631,FRGN-6631,noblige,laboratorio-olfattivo,"lemon, bergamot","lavender, iris, neroli, ambrette (musk mallow)","tonka bean, vanilla, white musk",FALSE
6632,FRGN-6632,bora-bora-for-men,liz-claiborne,"kiwi, lemon, bergamot","lavender, hibiscus","leather, cedar, musk",FALSE
6633,FRGN-6633,curve-soul,liz-claiborne,"bamboo leaf, lotus leaf, lotus, freesia","cactus flower, tyger lily, tahitian tiare flower, heliotrope, white woods, nutmeg","musk, incense",FALSE
6634,FRGN-6634,lucky-number-6,liz-claiborne,"lotus, tyger lily, peony","tea, litchi, jasmine","cashmere wood, musk, shiso, amber",FALSE
6635,FRGN-6635,solo-blu,luciano-soprani,"lavender, mint, bergamot, mandarin orange","juniper, jasmine, geranium","sandalwood, musk, amber",FALSE
6636,FRGN-6636,m,masaki-matsushima,"litchi, apricot, mandarin orange, grapefruit, juniper berries, passionfruit, lemon, bergamot","iris, watermelon, orris root, woody notes",musk,FALSE
6637,FRGN-6637,mat-male,masaki-matsushima,"green tea, cardamom, grapefruit","watermelon, bamboo, white lotus, black currant, mint, bulgarian rose","suede, cedar, teak wood",FALSE
6638,FRGN-6638,160,molinard,"hyacinth, lily-of-the-valley","cyclamen, ylang-ylang","sandalwood, virginia cedar, oakmoss",FALSE
6639,FRGN-6639,ambre,molinard,"coriander, myrtle, thyme","incense, amber, labdanum","vanilla, musk, patchouli, sandalwood, tonka bean, styrax, cedar",FALSE
6640,FRGN-6640,white-gardenia,monotheme-venezia,"bergamot, tangerine",gardenia,"musk, woody notes",FALSE
6641,FRGN-6641,naomi-campbell-at-night,naomi-campbell,"mirabelle plum, mirabelle, bergamot, green leaves","heliotrope, geranium, jasmine","vanille, tonka bean, sandalwood",FALSE
6642,FRGN-6642,5th-element-man,nike,"pepper, cardamom, caraway","iris, spanish labdanum, sage","vanilla, sandalwood, guaiac wood, cedar",FALSE
6643,FRGN-6643,il-giardino-delle-delizie,nobile-1942,"plum, indian saffron, palisander rosewood, white almond, davana","tuberose, immortelle, osmanthus, jasmine sambac, narcissus, rose","suede, benzoin, styrax, amber, musk, myrrh, cashmere wood, orris",FALSE
6644,FRGN-6644,flash-back-in-new-york,olfactive-studio,"cumin, saffron, linen, clary sage","leather, violet, jasmine","birch, papyrus, vetiver, tonka bean",FALSE
6645,FRGN-6645,classic,pecksniff-s,"petitgrain, lavender","coriander, lily, juniper berry","musk, cedar, moss",FALSE
6646,FRGN-6646,futur,robert-piguet,"green notes, neroli, bergamot","ylang-ylang, jasmine, violet leaf, violet","vetiver, virginia cedar, patchouli",FALSE
6647,FRGN-6647,red-sapphire,samy-andraus-fragrances,"saffron, almond, bergamot","ambergris, cedar, jasmine","musk, woody notes, amberwood",FALSE
6648,FRGN-6648,aqua-lily-2007,the-body-shop,"watermelon, pink pepper, green apple, bamboo, tangerine","lily, lily-of-the-valley, rose, violet, mignonette","musk, cedar",FALSE
6649,FRGN-6649,swiss-army-classic-sport,victorinox-swiss-army,"green apple, yuzu, coriander","cedar, rosemary, lavender","musk, white amber",FALSE
6650,FRGN-6650,lily-of-the-valley-contemporary-edition,yardley,pear,"lily-of-the-valley, freesia",musk,FALSE
6651,FRGN-6651,oxygene,lanvin,"indian white pepper, bergamot","milk, gardenia, rose","musk, iris, white sandalwood",FALSE
6652,FRGN-6652,rumeur,lanvin,magnolia,"lily-of-the-valley, rose, jasmine, orange blossom, plum","musk, patchouli, amber",FALSE
6653,FRGN-6653,dance-among-the-lace,miller-harris,"lemon verbena, lime, mint, red berries, cardamom","bourbon geranium, bergamot, black currant, fennel, angelica","vetiver, moss, myrhh, sandalwood, musk",FALSE
6654,FRGN-6654,oud-eclat,miller-harris,"agarwood (oud), tagetes, cashmere wood","balsam fir, floral notes, nutmeg, amber","sugar, moss, leather, musk",FALSE
6655,FRGN-6655,nejma-2,nejma,"white rose, ylang-ylang, cloves, saffron","turkish rose, rose de mai","agarwood (oud), sandalwood",FALSE
6656,FRGN-6656,bambou,weil,sicilian mandarin,"jasmine, ylang-ylang, tea rose, tuberose","bourbon vetiver, oakmoss, sandalwood",FALSE
6657,FRGN-6657,island,verset-parfums,bergamot,lavender,amber,FALSE
6658,FRGN-6658,princess-power,vera-wang,"pear, raspberry","jasmine, rose, frangipani","white woods, vanilla, musk",FALSE
6659,FRGN-6659,therena,thera-cosmeticos,"rose, floral notes",light amber,woodsy notes,FALSE
6660,FRGN-6660,bohemian-infusion,thameen,"grapefruit, petitgrain, cardamom, black currant","myrtle, ginger, artemisia, cinnamon","ambroxan, patchouli, labdanum, amber",FALSE
6661,FRGN-6661,blueted,ted-lapidus,"kumquat, pine tree","cyclamen, jasmine, patchouli","brazilian rosewood, sandalwood, white musk, amber",FALSE
6662,FRGN-6662,lapidus-woman,ted-lapidus,"freesia, bergamot","cyclamen, jasmine, orange blossom","vanilla, amber, musk, patchouli",FALSE
6663,FRGN-6663,atropa-belladonna,shay-blue-london,black currant,"narcissus, jasmine","patchouli, bourbon vanilla",FALSE
6664,FRGN-6664,la-volee,sergio-tacchini,"litchi, red currant","rose, magnolia","musk, ambroxan, patchouli",FALSE
6665,FRGN-6665,marvelous,sapientiae-niche,vanilla,iris,"caramel, musk",FALSE
6666,FRGN-6666,to-be-exotic-jungle-for-man,police,"bergamot, green notes, mandarin orange, pepper","apple, rose","vetiver, sandalwood, cedar, musk",FALSE
6667,FRGN-6667,replay-signature-for-men,replay,"cinnamon, pink pepper, bergamot","nutmeg, cedar, rose, geranium, mint",precious woods,FALSE
6668,FRGN-6668,l-elue,remy-latour,"honeysuckle, orange blossom, mandarin orange","tuberose, ylang-ylang, peach, plum, gardenia, rose, jasmine","sandalwood, amber, vanilla, heliotrope, musk",FALSE
6669,FRGN-6669,elise,rance-1795,"neroli, mandarin orange, sea notes","eucalyptus, white rose","musk, patchouli, amber, vanila",FALSE
6670,FRGN-6670,eugenie,rance-1795,"white flowers, melon, lily-of-the-valley, mandarin orange, bergamot, passionfruit, black currant, ylang-ylang","peach, jasmine, violet leaf, magnolia, rose, neroli","iris, sandalwood, vanille, oak moss, amber, vetiver",FALSE
6671,FRGN-6671,tubereuse-amour,rance-1795,"bergamot, violet leaves, lily-of-the-valley, neroli","indian tuberose, chinese osmanthus, turkish rose","sandalwood, iris, musk, patchouli",FALSE
6672,FRGN-6672,tirrenico,profumi-del-forte,"sea notes, sicilian bitter orange, bergamot, woody notes","fennel, basil, fruity notes, elemi resin, jasmine","oakmoss, sandalwood, white musk",FALSE
6673,FRGN-6673,odor-de-rosas,phebo,"geranium, rosemary, lavender, bergamot","carnation leaves, rose, juniper, thyme","leather, pine, sandalwood, patchouli, cedar",FALSE
6674,FRGN-6674,the-best-of-me,orlov-paris,"yellow mandarin, bergamot","rose, pomarose","vetiver, barley, bran, tonka bean, sesame, patchouli",FALSE
6675,FRGN-6675,edition-de-veronique,mizensir,"rose de mai, jasmine sambac","juniper, iris","amberwood, white musk",FALSE
6676,FRGN-6676,mandala,masque-milano,"olibanum, angelica, nutmeg","incense, cardamom, cedar, labdanum, cloves, cinnamon","myrrh, ambergris, sandalwood, oakmoss",FALSE
6677,FRGN-6677,frangipani-flower,mahogany,"chocolate, big strawberry, bergamot, black currant","honey, jasmine, orchid, lily-of-the-valley, rose","caramel, vanilla, patchouli, tonka bean, amber, musk, sandalwood",FALSE
6678,FRGN-6678,mahogany-for-men,mahogany,"aldehydes, cumin, bergamot, lemon","rose, orange blossom, pineapple, jasmine","oakmoss, musk, patchouli, vetiver, amber, sandalwood",FALSE
6679,FRGN-6679,pitch-and-toss,m-int,"bergamot, apple, basil","patchouli, cedar, rose","benzoin, amber, vanilla",FALSE
6680,FRGN-6680,cashmere-beige,m-int,"water notes, bergamot, mandarin orange, lemon","violet, iris, white flowers","musk, cedar, tonka bean",FALSE
6681,FRGN-6681,lomani-do-it,lomani,"coriander, galbanum, lemon, juniper, bergamot","geranium, nutmeg, violet, lavender, carnation","oakmoss, sandalwood, orris root, patchouli, amber, musk",FALSE
6682,FRGN-6682,cashmere,la-rive,"vanilla, iris, jasmine","caramel, heliotrope","benzoin, musk",FALSE
6683,FRGN-6683,chatte,la-rive,aldehydes,"ylang-ylang, jasmine","musk, vetiver",FALSE
6684,FRGN-6684,elegant-woman,la-rive,"saffron, jasmine","ambergris, amberwood","fir resin, cedar",FALSE
6685,FRGN-6685,hitfire,la-rive,"violet, bergamot","violet, jasmine","cedar, musk",FALSE
6686,FRGN-6686,peony-blossom,la-perla,"orange blossom, pear, white peach, black currant","peony, jasmine, violet","patchouli, musk, vanilla",FALSE
6687,FRGN-6687,indaco,l-erbolario,"calabrian bergamot, red berries, pink grapefruit, brazilian orange, sicilian mandarin","siam benzoin, violet, geranium, moroccan cedar, grasse rose, white magnolia","cacao pod, indonesian patchouli leaf, madagascar vanilla, tonka bean, vetiver, amber, white musk",FALSE
6688,FRGN-6688,neroli,l-erbolario,"bergamot, mint, thyme, orange","neroli, bitter orange blossom, jasmine","musk, sandalwood",FALSE
6689,FRGN-6689,petali-fiori,l-erbolario,"star anise, orange, bergamot","orange blossom, lilac, jasmine, rose","musk, almond milk, vanilla",FALSE
6690,FRGN-6690,mankind-legacy,kenneth-cole,"italian mandarin, clary sage, nutmeg","balsam fir, pink pepper, rosemary","amyris, cedar, vetiver",FALSE
6691,FRGN-6691,mankind-unlimited,kenneth-cole,"clary sage, sea water, mandarin orange","juniper, cardamom, black pepper","amber, atlas cedar, sandalwood",FALSE
6692,FRGN-6692,la-tarte-tatin,jousset-parfums,"brown sugar, salt","vanilla bean, apple, tonka bean","caramel, vanilla",FALSE
6693,FRGN-6693,ambar,jesus-del-pozo,"cardamom, tangerine, bergamot","tea, iris, peony","amber, sage, virginia cedar",FALSE
6694,FRGN-6694,jesus-del-pozo-in-white,jesus-del-pozo,"lemon blossom, bamboo leaf, bergamot","egyptian jasmine, orange blossom, freesia, almond blossom, magnolia, orchid","musk, powdery notes, iris",FALSE
6695,FRGN-6695,ghost-dream,ghost,"rose, watery notes","heliotrope, egyptian jasmine, violet, tunisian orange blossom","patchouli, musk, ambroxan",FALSE
6696,FRGN-6696,be-sparkling,gai-mattiolo,"bergamot, lemon, orange","honeysuckle, lily-of-the-valley, peony","musk, peach",FALSE
6697,FRGN-6697,irresistibile,furla,"freesia, orange blossom, lily","tuberose, violet, white camelia","ambroxan, cypress, white wood",FALSE
6698,FRGN-6698,pampa-humeda,fueguia-1833,green leaves,eucalyptus,rosemary,FALSE
6699,FRGN-6699,incense,franck-boclet,"cardamom, cinnamon, black pepper, pink pepper",benzoin,"ebony tree, sandalwood, guaiac wood",FALSE
6700,FRGN-6700,fiorucci-pegasus,fiorucci,bergamot,sandalowood,vanilla,FALSE
6701,FRGN-6701,miss-grey,fiorucci,"red fruits, wild rose, lemon zest","peony, jasmine","rose, patchouli, woodsy notes",FALSE
6702,FRGN-6702,fcuk-summer-her,fcuk,"mango, red apple","magnolia, freesia, mimosa","musk, patchouli, amber",FALSE
6703,FRGN-6703,fcuk-summer-him,fcuk,"sea water, nutmeg, bergamot","seaweed, lavender, papyrus, sage","musk, teak wood, woodsy notes, amber",FALSE
6704,FRGN-6704,reve-d-anthala,evody-parfums,"yellow mandarin, petitgrain","orchid, star jasmine","caramel, vanilla, amberwood, siam benzoin",FALSE
6705,FRGN-6705,jacquard,etro,"angelica, black pepper, elemi, bergamot","iris, ylang-ylang, jasmine","musk, violet, vetiver, sandalwood",FALSE
6706,FRGN-6706,modern-chypre,esteban,"raspberry, bergamot, green mandarin","white rose, lily-of-the-valley","patchouli, praline",FALSE
6707,FRGN-6707,esprit-urban-nature-for-men,esprit,"pear, bergamot, pepper","geranium, french labdanum, coriander","tonka bean, musk, patchouli, nutmeg, virginia cedar",FALSE
6708,FRGN-6708,legend,emper,"orange blossom, grapefruit, lemon, rosemary","lavender, nutmeg, teak wood, coriander, guaiac wood","tonka bean, musk, oakmoss",FALSE
6709,FRGN-6709,tracy,ellen-tracy,"peony, plum blossom, water lily, cassia","violet, rose, iris, lily-of-the-valley","almond milk, sandalwood, vanilla, orris root, white amber",FALSE
6710,FRGN-6710,brilliant-white-diamonds,elizabeth-taylor,"tuberose, mandarin orange","lily, honeysuckle, bulgarian rose","musk, sandalwood, vanilla",FALSE
6711,FRGN-6711,musc-blanc,el-nabil,"basil, lily, ylang-ylang, galbanum","iris, peach, jasmine, rose","white musk, amber, vanilla, moss, woody notes",FALSE
6712,FRGN-6712,eau-fraiche,eisenberg,"bergamot, cardamom, ginger, pink pepper, lemon, grapefruit, mandarin orange","lavender, tarragon, sage, juniper, patchouli, palisander rosewood","vetiver, moss, musk, tonka bean, sandalwood, amber",FALSE
6713,FRGN-6713,sienne-l-hiver,eau-d-italie,"fern, violet leaf, geranium","iris, truffle, olibanum","hay, labdanum, guaiac wood",FALSE
