perfume,brand,top notes,mid notes,base notes
Eternal Lily Amber,Bohoboco,"Granny Smith Apple, Sicilian Mandarin","Lily, Turkish Rose, Jasmine","Amber, Patchouli, Madagascar Vanilla"
Mystique,Beverly Hills Polo Club,"Orange Blossom, Lemon Zest, Orange","White Flowers, Tiare Flower, Neroli","Patchouli, Oakmoss"
Pure Pastel Mint,Betty Barclay,"Black Currant, Yuzu, Pink Pepper","Tea Rose, Cyclamen, Ylang-ylang","Musk, Sandalwood"
Pure Pastel Peach,Betty Barclay,"Peach, Passionfruit, Grapefruit","Frangipani, Jasmine, Violet Leaf","Vanilla, Cashmeran, Tonka Bean"
Eau De Virginie,Au Pays De La Fleur D Oranger,"Cardamom, Pink Pepper, Bergamot","Tuberose, Mimosa, Ylang-ylang, Gardenia","Sandalwood, Vanilla, Sweet Notes"
Rose Irisee,Au Pays De La Fleur D Oranger,"Vermouth, Orange, Bergamot","Iris, Almond, Rose, Ylang-ylang","Cedar, Woody Notes, Musk, Sandalwood, Patchouli, Vanilla"
City Rush for Him,Avon,"Bourbon Pepper, Apple, Mandarin Orange","Dahlia, Clary Sage, Geranium","Kashmir Wood, Sandalwood, Musk"
City Rush Glamour,Avon,Violet Leaf,Orchid,Sandalwood
Fleur,Avon,"Mango, Passion Flower, Mandarin Orange","Apple Blossom, Marigold, Rose","Iris, Musk, Woody Notes"
Herstory Love Inspires,Avon,"Apricot, Mandarin Orange, Jasmine","Brandy, Iris, Gardenia","Praline, Amber, Vetiver"
Imari 2015,Avon,"Aldehydes, Bergamot, Italian Lemon","Iris, Rose, Jasmine","Patchouli, Amber, Vanilla"
Avon Life by Kenzo Takada for Her,Avon,"Water Lily, Citruses, White Tea, Red Apple","Peony, Violet, Japanese Cherry Blossom","Iris, Ambrette (musk Mallow), Patchouli"
Always 2018,Avon,"Neroli, Plum, Bergamot","Rose, Peony, Mandarin Blossom","Sandalwood, Vanilla, Apricot"
Azzaro Chrome Parfum,Azzaro,Bergamot,Sage,Fir Resin
Wanted Tonic,Azzaro,Lime,Ginger,Patchouli
My Euphoria,Calvin Klein,Black Currant,"Orchid, Sesame, Tuberose","Sandalwood, Agarwood (oud), Bamboo"
Warm Cotton Reserve Blend,Clean,"Aldehydes, Ozonic Notes, Watery Notes, Ginger","Green Notes, Floral Notes, Mint, Pepper","Musk, Vetiver, Incense"
Comme Des Garcons Series 7 Sweet Sticky Cake,Comme Des Garcons,"Honey, Pistachio, Almond",Iris,"Milk, Sugar, Myrhh"
Blushing Sands,Estee Lauder,Haitian Vetiver,Pink Pepper,Musk
Emporio Armani Diamonds Eau De Toilette,Giorgio Armani,"Pink Pepper, Bergamot",Rose,"Vetiver, Musk"
Wood Infusion,Goldfield Banks Australia,Sweet Orange,"Lavender, Italian Iris, Amber","Exotic Woods, Agarwood (oud), Island Musk, Indonesian Patchouli Leaf"
Island Lush,Goldfield Banks Australia,"Nutmeg, Pink Pepper, Ginger, Bergamot","Guaiac Wood, Cedar, Iris, Geranium","Leather, Sandalwood, Vetiver, Benzoin, Patchouli"
L Eau D Issey Solar Violet,Issey Miyake,Pear,Violet,Iris
La Belle Le Parfum 2024,Jean Paul Gaultier,Pear,Vanilla,Tonka
Flash,Jimmy Choo,"Pink Pepper, Big Strawberry, Tangerine","Tuberose, White Lily, Jasmine","Heliotrope, White Wood"
Yellow Hibiscus,Jo Malone London,Hibiscus,"Rose, Lime",White Musk
Twirl,Kate Spade,"Watermelon, Red Currant, Blackberry","Magnolia, African Orange Flower, Tiare Flower, Jasmine","Sweet Notes, Musk"
Wild,Kenzo,"Pink Grapefruit, Pink Pepper, Pomegranate","Peony, Orange Blossom, Green Almond","Musk, Cedar, White Tea"
Kenzo World Eau De Toilette,Kenzo,"Pear, Bergamot","Peony, Almond Blossom, Rose","White Musk, Orris Root, Violet, Iso E Super, Vanilla, Sandalwood"
La Rose Extreme,Les Parfums De Rosine,"Tagetes, Violet, Black Currant, Neroli","Rose, Jasmine, Iris, Ylang-ylang, African Orange Flower","Musk, Peru Balsam, Sandalwood, Benzoin, Tonka Bean"
When the Rain Stops,Maison Martin Margiela,"Green Notes, Bergamot, Pink Pepper","Watery Notes, Rain Notes, Turkish Rose, Jasmine","Pine Tree, Moss, Patchouli"
Aoud Lavender,Montale,"Lavender, Saffron, Bergamot, Lemon","Patchouli, Flowers","Agarwood (oud), Powdery Notes, Sandalwood, White Musk, Amber"
Crazy in Love,Montale,"Wild Rose, Violet Leaves","Saffron, Brown Sugar","Amber, Vanilla Bean"
Explorer Ultra Blue,Montblanc,"Sicilian Bergamot, Pink Pepper, Exotic Fruits","Sea Notes, Ambergris","Woodsy Notes, Indonesian Patchouli Leaf, Leather"
Innocent Rock,Mugler,"Grapes, Litchi",Rose,Pepper
Santalove,Nishane,"Ylang-ylang, Bergamot",Sandalwood,"Vanilla, Tonka Bean"
Men 2021,O Boticario,"Citruses, Sage, Pear","Lavender, Mint, Cedar Needles, Rose","Patchouli, Cedar, Moss"
Lady Million Lucky,Paco Rabanne,Raspberry,"Hazelnut, Rose, Jasmine","Honey, Cashmere Wood, Sandalwood, Cedar"
Notorious,Ralph Lauren,"Pink Pepper, Black Currant, Bergamot","Carnation, Peony, White Chocolate","Patchouli, Vanilla, Musk, Orris Root"
Itislove,Salvador Dali,"Pink Pepper, Pomegranate, Grapefruit","Immortelle, Narcissus, Rose, Iris","Musk, Amber, Sandalwood, Vanille"
Incanto Amity,Salvatore Ferragamo,"Mandarin Orange, Melon","Lotus, White Peach, Jasmine","White Musk, Cedar"
Lady White Snake,Stephane Humbert Lucas 777,"Orange Blossom, Honeysuckle, Mandarin Orange","Tuberose, Magnolia, Jasmine","White Leather, White Musk, Amber"
Neonatura Souffle,Yves Rocher,"Ginger, Italian Lemon, Mandarin Orange, Bergamot","Tiare Flower, Ylang-ylang, Jasmine","Vanilla, Amber, Benzoin"
Eau 01 Amalfi Coast,Zara,"Lemon, Nutmeg","Woody Notes, Mastic or Lentisque, Thuja","Ambroxan, Vetiver, Cashmeran"
A Daisy Bouquet in London,Zara,Bergamot,Jasmine,White Musk
Panda,Zoologist Perfumes,"Bamboo, Green Leaves, Green Tea, Sichuan Pepper, Lemon, Mandarin Orange","Osmanthus, Lily, Mimosa, Incense, Orange Blossom","Musk, Haitian Vetiver, Moss, Sandalwood, Cedar"
Play It Wild for Her,Playboy,"Pear, Mandarin Orange, Neroli","Coca-cola, Rhubarb, Orange Blossom","Vanilla, Amber, Violet"
Midnight Pearl,Oriflame,"Pear, African Orange Flower, Freesia","Jasmine, Peony, Frangipani, Carnation","Patchouli, Agarwood (oud), Virginia Cedar, Vetiver"
Glacier Fire,Oriflame,Lemon,Mint,Woodsy Notes
Life Circle Fruit,Oriflame,"Pear, Pineapple","Jasmine, Osmanthus","Vanilla, Musk"
Memories Flirting Under Fireworks,Oriflame,Apricot,White Rose,Praline
Miss Yes to Love,Oriflame,Raspberry,Lamprocapnos,Almond
Oasis Fresh Dawn,Oriflame,"Cardamom, Black Pepper, Mandarin Orange",Lily,"Sand, Peru Balsam, Amber"
Love Fury,Nine West,"Red Berries, Mandarin Orange, Rose, Mimosa","Sandalwood, Tiare Flower, Jasmine","Musk, Woodsy Notes, Amber, Iris"
Lady Rebel Rock Deluxe,Mango,"Bergamot, Pomelo","Gardenia, Tuberose","Peru Balsam, Patchouli, Leather"
1875 Carmen Bizet,Histoires De Parfums,"Ginger, Artemisia, Lemon","White Flowers, Saffron","Patchouli, Guaiac Wood, Incense, Sandalwood"
Wishes Dreams,Bebe,"Freesia, Pear, Bergamot","Jasmine, Violet, Osmanthus","Patchouli, Woodsy Notes, Musk"
Phoenix,Axe,"Lavender, Citruses, Geranium","Soil Tincture, Violet","Musk, Leather"
In Blue,Armand Basi,"Bergamot, Grapefruit, Coriander, Mandarin Orange","Pepper, Black Currant, Lotus, Neroli","Woodsy Notes, Oakmoss, Patchouli"
Splash Blue Seduction for Women,Antonio Banderas,"Tangerine, Pear, Peach, Black Currant","Raspberry, Gardenia, Freesia, Jasmine, Rose","Woodsy Notes, Musk"
Instictive Marine,Angel Schlesser,Sea Notes,Lavender,Tonka Bean
The Queen of Spades Modern,Brocard,"Mango, Citruses","Rose, Jasmine, Orange Blossom","Patchouli, Vanilla, Candy Apple, Musk"
Mirror,Brocard,"Gourmand Accord, Coffee","Spicy Notes, Woody Notes","Amber, Musk, Fern"
Clinique Happy to Be,Clinique,"Water Notes, Pear","Lilac, Hibiscus, Syringa, Rose","Sandalwood, Cacao"
Vanilla Ceo,Cra Yon,"Cyclamen, Orange Blossom, Bergamot, Mandarin Orange",Vanilla Orchid,"Woody Notes, Amber"
Beau Monde,Faberlic,Bergamot,"Pink Pepper, Gardenia, Red Berries, Saffron, Rose, Violet","Sandalwood, Amber, Palisander Rosewood, Tonka Bean, Musk"
Narcissus Grove Narcissovaa Rosa,Khaikin,"Green Grass, Narcissus, Apple, Ylang-ylang, Pink Pepper","Jasmine, Freesia, Water Notes, Narcissus, Lily-of-the-valley, Black Pepper, Frangipani","Mineral Notes, Musk, Oakmoss, Vetiver"
Eau De Lacoste L 12 12 Pour Elle Eau Fraiche,Lacoste Fragrances,"Grapefruit, Yellow Mandarin, Pink Pepper","Water Notes, Magnolia, Egyptian Jasmine","Musk, Indonesian Patchouli Leaf"
Magnetic for Her,Mexx,Red Apple,"Floral Notes, Lotus",Sandalwood
Mexx Man,Mexx,"Lavender, Mandarin Orange, Pineapple, Basil","Fir, Fern, Geranium, Jasmine","Sandalwood, Cedar, Birch, Oakmoss"
Mexx Ice Touch Man 2014,Mexx,"Mandarin Orange, Green Apple, Pink Grapefruit","Water Notes, Cedar, Jasmine","Tonka Bean, Patchouli, Sandalwood, Amber"
Auramber,Vertus,"Amber, Smoke, Animal Notes","Amber, Dry Wood","Amber, Patchouli, Labdanum"
Eau De Cyan,Vertus,"Sea Notes, Cypress, Sage, Galbanum","Seaweed, Gardenia, Jasmine","Oakmoss, Musk, Patchouli, Amber"
Chinotto Gourmand,Abaton,Chinotto,Orange Blossom,"Caramel, Vanilla"
Virginia Rose,Acca Kappa,"Grapefruit, Lemon","Rose, Geranium, Tea Leaf, Lily-of-the-valley","Brazilian Rosewood, Amber"
Unlock for Him,Adidas,"Sweet Notes, Cardamom, Salt","Asphalt, Vanilla, Jasmine","Cedar, Woody Notes, Tonka Bean, Copaiba Balm, Amber"
Beso Feliz,Beso Beach Perfumes,"Rhubarb, Cannabis, Pink Pepper, Black Currant","Hay, Clary Sage, Madagascar Pepper, Rose Oil","Java Vetiver Oil, Benzoin, Patchouli, Musk"
Signature Blue,Bugatti Fashion,"Grapefruit, Water Notes, Fig, Bergamot","Patchouli, Violet Leaves, Black Pepper","Animal Notes, Incense, Tonka Bean, Saffron"
Mysterious Oud,Chabaud Maison De Parfum,Elemi Resin,"Guaiac Wood, Labdanum, Jasmine","Agarwood (oud), Sandalwood, Amber, Musk"
Altesse Mysore,Alexandre J,"Pink Pepper, Ambroxan, Elemi","Rose, Dried Plum, Jasmine","Cedar, White Musk, Patchouli, Benzoin, Amberwood, Vanilla"
Dkny Be Delicious,Donna Karan,"Cucumber, Grapefruit, Magnolia","Green Apple, Lily-of-the-valley, Tuberose, Violet, Rose","Woodsy Notes, Sandalwood, Amber"
Dkny Be Delicious Electric Loving Glow,Donna Karan,"Grapes, Pineapple, Black Currant","Apricot, Violet, Jasmine","Vanilla, Amberwood, Musk"
Dkny Stories,Donna Karan,"Milk Mousse, Guava, Black Cardamom, Pink Pepper","Iris, White Tea, Jasmine Sambac","Vanilla, White Sandalwood, Ambergris"
Mexicana De Vanilla,Edgardio Chilini,"French Pastries, Bourbon Vanilla, Cognac, Apricot, Star Anise, Pine Needles, Orange, Pineapple, Thyme, Yuzu, Lemon, Passion Flower, Bergamot","Caramel, Hazelnut, Honey, Beeswax, Dark Chocolate, Coconut, Tobacco Leaf, Cinnamon, Fig Leaf, Lily-of-the-valley, Bitter Almond, Cloves, Ylang-ylang, Geranium, Amaryllis, Tuberose, Tiare Flower, Black Licorice, Ivy, Rose, Jasmine, Gardenia, Violet, Heliotrope, Lotus","Vanilla, Praline, Oakmoss, Tonka Bean, Siam Benzoin, Musk, Mahogany, Amber, Sandalwood, Vetiver, Patchouli"
Appear,Hermetica,"Pear, Cassis, Mandarin Orange, Black Pepper","Green Apple, Jasmine, Lily of the Valley, Gardenia, Orris","Caramel, Raspberry, Peach, Tonka, Vanilla, Cedar, Amber, Musk, Sandalwood, Heliotrope, Vetiver, Moss"
Andalucia Sensuelle,Id Parfums,"Bitter Orange, Mandarin Orange","Orange Blossom, White Flowers","Patchouli, Salt"
Red Shoes,Jacques Fath,"Red Berries, Grapefruit, Black Currant, Aldehydes","Damask Rose, Ginger, Geranium, Pink Pepper","Patchouli, Cashmere Wood, Musk"
Sweet Sixteen,Jeanne Arthes,Bergamot,"Green Apple, Jasmine","Red Currant, Virginia Cedar, Cypress"
Tubereuse Neroli,Jeanne En Provence,"Neroli, Green Leaves, Mandarin Orange","Tuberose, Orange Blossom, Petitgrain, Orangewood","Powdery Notes, Musk, Cedar"
Wild Orchid,Just Jack,"Honey, Bergamot, Orange","Turkish Rose, Orange Blossom, Jasmine","Myrrh, Balsamic Notes, Sandalwood, Labdanum"
Ride or Die,Kkw Fragrance,"Blackberry, Plum, Mandarin Orange","Night Blooming Jasmine, Raspberry, Gardenia","Vanilla, Caramel, Tonka Bean"
Benjoin Vanillee Parfum Extrait,Kyse Perfumes,"Honey, Plum, Neroli","Vanilla, Tonka Bean","Benzoin, Immortelle, Styrax"
Curve Chill,Liz Claiborne,"Green Tea, Lemon, Ginger","Peony, Sweet Pea, Freesia","Musk, Vetiver, Cedar"
Art Mosaic,Masaki Matsushima,"Tangerine, Grapefruit, Lemon","Princess Tree or Paulownia, Pink Pepper","Mango, Musk"
Mat Chocolat,Masaki Matsushima,"Watermelon, Rose, Black Currant, Grapefruit","Dark Chocolate, Cacao","Coconut, Musk, Sandalwood"
Mat Stone,Masaki Matsushima,"Sea Notes, Angelica, Cardamom, Lime","Mojito, Violet Leaf, Woody Notes","Cashmere Wood, Musk"
Rose Eau De Parfum,Molinard,Rose,"Geranium, Cloves, Chamomile, Violet","Musk, Almond, Vanilla"
Eternal Beauty,Naomi Campbell,"Star Anise, Bergamot, Red Apple, Paprika","Orchid, Cinnamon, Jasmine, Magnolia","Vanille, Sandalwood, Virginia Cedar"
Love Game,Patrice Martin,"Blood Orange, Citruses, Sage, Lavender","Woody Notes, Saffron, Hedione, Cedar","Ambergris, Oakmoss, Woody Notes"
Sultan Rouge,Pascal Morabito,"Saffron, Jasmine",Ambergris,Cedar
Dolce Sense Choco Menthe,Paris Elysees,"Caramel, Orange Oil, Fruits","Mint, Chocolate","Vanilla, Moss, Tonka Bean"
Mojito Chypre,Pierre Guillaume Paris,"Mint, Strawberry, Lime, Aldehydes","Mojito, Rum","Moss, Patchouli, Vetiver, Vanilla, Labdanum"
A Une Madone,Pierre Guillaume Paris,Cardamom,"Vanilla, Sandalwood","Guaiac Wood, Castoreum, Styrax, Civet, Myrrh, Gurjan Balsam"
Oud Couture,Zarkoperfume,"Bergamot, Orange Blossom, Mandarin Orange","Black Pepper, Cardamom, Vanilla","Agarwood (oud), Vetiver, Palisander Rosewood, Sandalwood"
Lotus,Thera Cosmeticos,"Pineapple, Bergamot, Apple, Orange Blossom","Patchouli, Jasmine, Sage, Blue Hyacinth","Musk, Amber, Tonka Bean"
Emerald Green,The House of Oud,"Blood Orange, Bergamot, Tangerine, Pink Pepper","Ginger, Jasmine, Cardamom","Ambergris, White Musk, Patchouli"
Grapefruit Lime,The 7 Virtues,"Lime, Grapefruit, Petitgrain, Lemon, Basil, Orange","Green Tea, Bamboo, Cumin, Juniper, Lily-of-the-valley, Neroli","Cedar, Moss, Sandalwood, Amber"
Stone Supernova for Her,Replay,"Apple, Watery Notes","Gardenia, Fruity Notes, Rose, Ylang-ylang","Musk, Sandalwood, Amber"
Lil Dipper,Pinrose,"Apple, Lemon, Bergamot","Lavender, Peony, Mandarin Blossom","Amber, Sandalwood, Cedar"
Live Joyously,Philosophy,Tangerine,Pink Peony,Patchouli
Colore Colore Green,Parfums Genty,"Green Notes, Bergamot, Tangerine","Raspberry, Lily-of-the-valley, Black Currant, Jasmine, Rose","Musk, Cedar, Sandalwood"
Satomi Pink,Parfums Genty,"Rose, Bergamot, Jasmine, Grapefruit, Lemon","Raspberry, Red Berries, Wild Strawberry, Peach","Musk, Woody Notes"
Travel to See Yourself,Parfums Genty,"White Tea, Peach, Bergamot","Osmanthus, Jasmine, Plum, Rose","Musk, Amberwood"
Yuzu Fou,Parfum D Empire,"Yuzu, Bitter Orange, Mint, Kumquat","Lemon Verbena, Bamboo, Cedar","Neroli, White Musk"
Pure Soul,Morph,"Bergamot, Lemon","Floral Notes, Jasmine, Ylang-ylang","Powdery Notes, White Musk, Tonka Bean"
Quartz Silver,Molyneux,"Precious Woods, Tonka Bean, Patchouli","Lavender, Violet, Cinnamon","Orange, Italian Lemon, Guatemalan Cardamom"
Sailor Stories,Miguel Matos,"Lemon, Bergamot","Sea Notes, Jasmine","Oakmoss, Seaweed, Leather"
No Coward,M Int,"Floral Notes, Mandarin Orange, Palisander Rosewood, Herbal Notes","Rose, Floral Notes, Cloves","Musk, Vanilla, Patchouli, Papyrus"
Time to Target,M Int,"Exotic Fruits, Bergamot, Lavender","Galbanum, Pink Pepper, Patchouli, Cedar","Oakmoss, Leather, Musk"
Lr Classics Marbella,Lr,"Orange, Bergamot, Water Notes","Jasmine, Rose","Patchouli, Vanille, Vetiver, Musk"
Vaniglia,L Erbolario,"Lemon, Strawberry","Myrhh, Heliotrope","Vanilla, Musk, Amber"
Take Me to the Moon,Korloff Paris,"Pear, Peach, Bergamot","Jasmine, Osmanthus, Red Rose","Sandalwood, White Musk, Patchouli"
Claudia Leitte Intense,Jequiti,"Grapefruit, Orange Blossom, Mandarin Orange, Litchi, Tamarind, Cassis","Lily-of-the-valley, Jasmine, Frangipani, Turkish Rose, Magnolia","Vanilla, Tonka Bean, Amber, Musk, Sandalwood, Cedar, Moss"
Chocolat Frais,Il Profvmo,"Wormwood, Almond Blossom, Granny Smith Apple","Cacao, Carambola (star Fruit), Pomegranate, Peach","Vanilla, Woodsy Notes, Heliotrope"
Ferre Rose Princesse,Gianfranco Ferre,"Blueberry, Green Apple, Orange, Bergamot, Amalfi Lemon","Rose, Magnolia, Lilac, Violet Leaf","Musk, Sandalwood, Brazilian Rosewood"
Mistica,Furla,"Lime, Pepper, Raspberry","Damask Rose, Rose Water","Vanila, Cedar, Vetiver"
Laskarina,Frapin,"Pear, Pink Pepper, Grapefruit, Bergamot","Orange Blossom, Bulgarian Rose","Olibanum, Black Pepper, Iris, Ambroxan"
Instance Cha Verde E Roma,Eudora,"Pomegranate, Green Apple, Violet Leaf","Plum, Lily-of-the-valley, Cinnamon","Musk, Almond, Patchouli"
Like a Million Miles Away,Essence,"Mango, Mandarin Orange, Grapefruit","Praline, Plum, Rose","Vanila, Musk, Cedar"
Palissandre Noir Secret I,Eisenberg,"Saffron, Rose, Mandarin Orange, Orange Blossom, Wormwood, Pepper, Bergamot","Palisander Rosewood, Patchouli, Cedar","Sandalwood, Musk, Labdanum, Vanilla"
Fragrance 05 Spring,Dedcool,"Bergamot, Cedar, Star Anise","Lemon, Incense, Geranium","Oak Moss, Patchouli, Vetiver"
Touch of Seduction,Christina Aguilera,"Raspberry, Litchi, Freesia","Rose, Iris, Honeysuckle","Vanilla, Sandalwood, Musk"
Xtina,Christina Aguilera,"Raspberry, Black Currant, Pear","Rose Petals, Sugar, Violet Leaf, Jasmine","Patchouli, Oakmoss, Musk, Amber"
C Est La Fete,Christian Lacroix,"Pear, Passionfruit, Apricot, Black Currant, Bergamot","Tagetes, Rose, Mirabelle Plum, Jasmine","Orchid, Vanilla, Musk, Sandalwood"
Tooty Musk,Al Rehab,"Black Currant, Rose Hip, Pink Pepper","Raspberry, Blackberry, White Lily","White Musk, Vanilla"
Alpha,Avon,"Raspberry, Blood Orange, Litchi","Floral Notes, Honeysuckle","Woody Notes, Cashmeran"
Caribbean Paradise,Avon,Hibiscus,Mango,"Woody Notes, Amber"
300 Km H,Avon,"Green Notes, Herbal Notes","Cypress, White Cardamom","Sandalwood, Cedar, Musk"
Aspire Impress,Avon,Apricot,Jasmine Sambac,Amber
Attraction Game for Him,Avon,"Pepper, Pear, Cardamom","Dark Chocolate, Artemisia","Milk, Woody Notes"
Femme Exclusive,Avon,"Liquor, Pear, Black Currant, Kumquat","Vanilla, Heliotrope, Jasmine, Magnolia","Black Vanilla Husk, Musk, Sandalwood"
Scentini Nights Emerald Sparkle,Avon,"Champagne, Green Apple, Guava","Sweet Pea, Syringa, Jasmine","Vanilla, Sandalwood, Woodsy Notes"
Surreal Island,Avon,Red Fruits,"Freesia, Peony, Jasmine",Tonka Bean
Today Tomorrow Always the Moment Him,Avon,Neroli,Lavender,Woodsy Notes
New Bond St,Bond No 9,"Pepper, Bergamot, Lily-of-the-valley","Chestnut, Cacao, Coffee","Vanilla, Sandalwood, Patchouli, Leatherwood"
Park Avenue South,Bond No 9,Green Apple,"Peach, Jasmine","Musk, Amber"
Spring Fling,Bond No 9,"Fruity Notes, Passion Flower, Lily-of-the-valley","Honeysuckle, Jasmine, Freesia","Musk, Amber, Teak Wood"
Kisses Don T Lie,By Kilian,"Pink Pepper, Bergamot","Grasse Rose, Dark Chocolate, Violet, Violet Leaf","Raspberry, Myrrh, Papyrus"
Deep Euphoria,Calvin Klein,"White Pepper, Cascalone, Mandarin Leaf","Black Rose, Peony, Geranium, Jasmine Sambac","Patchouli, Woody Notes, Musk"
See by Chloe Eau Fraiche,Chloe,Apple Blossom,"Water Hyacinth, Jasmine",Vetiver
Vanille De Madagascar,Chopard,"Tea, Bergamot, Orange Blossom","Madagascar Vanilla, Caramel","Haitian Vetiver, Cedar"
Clean Air,Clean,"Mountain Air, Bergamot Blossom","Green Accord, Freesia, Peony","Aldehydes, Powdery Notes, Musk, Cashmere Wood, White Amber"
Tea,Commodity,"Citruses, Sicilian Lemon, Bergamot","Lily-of-the-valley, Freesia, Jasmine Sambac","White Musk, Sandalwood"
Whiskey,Commodity,"Violet, Black Currant, Plum","Lavender, Wormwood, Patchouli, Saffron","Oak, Vanilla, Mahogany, Cedar, Ambergris, Vetiver"
Red Door 25 Eau De Parfum,Elizabeth Arden,"Blackberry, Raspberry, Cassis","Flowers, Violet Leaf","Honey, Musk, Patchouli, Sandalwood"
Beautiful Magnolia Intense,Estee Lauder,"Violet Leaf, Mandarin Orange, Cardamom","Iris, Magnolia, Patchouli","Musk, Leather, Vanilla Bean, Virginia Cedar"
Pure White Linen Pink Coral,Estee Lauder,"Apple Blossom, Pink Pepper","Cherry Blossom, Peony, Jasmine","Heliotrope, Sandalwood, Vanilla"
Figment Man,Amouage,"Geranium, Lemon, Pink Pepper","Animal Notes, Vetiver, Sandalwood","Earthy Notes, Labdanum, Guaiac Wood"
Southern Bloom,Goldfield Banks Australia,"Cassis, Mandarin Orange","Boronia, Coconut, Italian Iris, Ylang-ylang, Jasmine Sambac","Australian Sandalwood, Musk, Amber, Vetiver"
Rouge Hermes Eau Delicate,Hermes,"Aldehydes, Ylang-ylang","Rose, Vanilla","Labdanum, Amber, Cedar"
Pleats Please,Issey Miyake,Pear,"Sweet Pea, Peony, Indole","White Musk, Vanilla Absolute, Patchouli, Cedar"
Yara Moi,Lattafa Perfumes,"Jasmine, Peach","Caramel, Amber","Patchouli, Sandalwood"
Clair Matin,Les Parfums De Rosine,"Amalfi Lemon, Cassis, Raspberry Leaf","Chamomile, Rose, Violet, Peony","Apricot, Sandalwood, Musk, Amber"
Ganymede Extrait,Marc Antoine Barrois,"Incense, Myrrh, Mandarin Orange",Immortelle,"Akigalawood, Safraleine"
Sundance,Memo Paris,"Pear, Bergamot, Lemon","Tuberose, Tiare Flower, Iris, Pimento","Sandalwood, Musk, Tonka Bean"
The New Rose,Montale,"Bulgarian Rose, Lemon, Raspberry, Black Currant, Peach","Rose, Ylang-ylang, Lily-of-the-valley","Sandalwood, Vanilla"
Kaiak Vital,Natura,"Pitanga, Pomelo, Lemon, Styrax","Sea Notes, Peony, Jasmine, Rose","Cedar, Cashmeran, Amber, Coumarin, Sandalwood"
Capricho Day,O Boticario,"Pear, Apricot, Mandarin Orange, Lime","Lily-of-the-valley, Freesia, Orchid, Iris","Musk, Amber, Cedar, Vetiver"
Malbec Play,O Boticario,"Black Pepper, Violet Leaf, Cardamom, Lime, Bergamot, Green Apple, Mandarin Orange","Red Wine, Patchouli, Cedar, Lavender","Oakmoss, Amber, Benzoin, Musk"
Chastity Women,Rasasi,"Water Notes, Green Notes, Amalfi Lemon","Jasmine, African Orange Flower, Rose",Musk
Rumz Al Rasasi 9325 Pour Elle,Rasasi,"Violet Leaf, Cloves","Cedar, Iris","Musk, Patchouli, Amber, Sandalwood, Vanilla"
Foreste Di Seta,Salvatore Ferragamo,Clary Sage,"Walnut, Silk",Madagascar Vetiver
Hilfiger Woman Cheerfully Pink,Tommy Hilfiger,"Litchi, Blackberry, Mandarin Orange, Cloves","Rose, Magnolia, Ylang-ylang, Jasmine","Vanilla, Musk, Sandalwood, Cedar, Patchouli"
Flowerparty by Night,Yves Rocher,Mandarin Orange,"Licorice, Star Anise, Floral Notes","Bourbon Vanilla, Bitter Almond"
Holistic Flow,Zara,Passionfruit,Orange Blossom,Musk
01 Red Vanilla,Zara,"Raspberry, Tangerine","Red Peony, Iris",Vanilla
Indigo Mohair,Zara,Pear,Rose,Cedar
Dream,Shakira,"Blood Orange, Pink Pepper","Caramel, Rose","Vanilla, Musk"
Northern Glow,Oriflame,"Cherry, Melon, Raspberry","Red Rose, Peony, Orange Blossom","Hazelnut, Musk, Amber"
Lucia,Oriflame,"Magnolia, Amalfi Lemon, Black Currant, Ivy, Mandarin Orange","Jasmine, Hyacinth, Orchid, Rose, Violet","Peach, Sandalwood, Musk, Woody Notes, Blackberry, Damask Plum"
Volare Moments,Oriflame,"Grasse Rose, Violet Leaf, Pear","Peony, Osmanthus, Magnolia, Freesia","Iris, Musk, Sandalwood, Cedar"
Morgan De Toi,Morgan,"Blueberry, Pink Pepper","Crystal Amber, Jasmine, Nectarine","Patchouli, Musk, Agarwood (oud)"
Krizia Donna Istinto,Krizia,"Sunflower, Magnolia, Lily-of-the-valley","Lily, Honeysuckle, Rose","Musk, Patchouli, Amber, Cedar"
Time Woman,Krizia,"Wild Rose, Hyacinth, Bergamot, Neroli","Pimento, Green Leaves, Carnation","Musk, Cashmere Wood, Oakmoss, Vanilla"
Wildbloom Rouge,Banana Republic,"Green Apple, Plum, Clementine","Magnolia, Freesia Petals, Jasmine","Cashmere Musk, Amber, Sandalwood"
Scent of Kiss,Armand Basi,"Strawberry, Pear, Grapefruit, Apple","Rose, Peach Blossom, Jasmine, Orange Blossom","Vanilla, Patchouli, Sandalwood, Cedar"
Diavolo,Antonio Banderas,"Green Leaves, Mandarin Orange, Violet Leaves","Cinammon, Jasmine, Rose","Sandalwood, Moss, Natural Vanilla"
Electric Seduction in Black,Antonio Banderas,"Sea Notes, Citruses, Fruits",Spices,"Musk, Patchouli"
Angel Schlesser Femme Adorable,Angel Schlesser,"Citruses, Bergamot, Green Apple","Grasse Rose, Violet, Jasmine Sambac","Musk, Vanilla, Sandalwood"
Essence of United Colors of Benetton Woman,Benetton,"Peach, Orange, Bergamot","Freesia, Jasmine, Rose","Patchouli, Vetiver, Musk"
Colors De Benetton Woman Pink,Benetton,"Passionfruit, Tangerine, Bergamot","Rose, Orange Blossom, Jasmine","Musk, Patchouli, Vanilla, Woody Notes, Amber"
